"bot","username","cnt"
false,"Someanon","2"
false,"213.192.80.182","2"
false,"Chronus","2"
false,"187.145.140.160","2"
false,"2.38.64.37","1"
false,"Kamil.ryy","1"
false,"Ms Sarah Welch","1"
false,"Vulson","1"
false,"Bff","1"
false,"Geolina163","1"
false,"2600:8805:B480:4D50:109B:29CB:833E:2900","1"
false,"GoCloud","1"
false,"George Ho","1"
false,"Kansas Bear","1"
false,"Progorgonops12","1"
false,"Bergmannac","1"
false,"185.55.65.122","1"
false,"BDavisS","1"
false,"NuclearWizard","1"
false,"Георгий Долгопский","1"
false,"Punkt64","1"
false,"WeeKee","1"
false,"Digamma","1"
false,"2405:205:64A1:3A00:0:0:D2B:28AC","1"
false,"Sohan9","1"
false,"Vanneau Asocial","1"
false,"Taron Saharyan","1"
false,"Dlthewave","1"
false,"JimRenge","1"
false,"Hancaoto","1"
false,"Oxfordian Kissuth","1"
false,"Duysinging2002","1"
false,"93.34.239.175","1"
false,"178.11.228.233","1"
false,"MisterSynergy","1"
false,"Pigsonthewing","1"
false,"Punk35showoff","1"
false,"Signedzzz","1"
false,"Dyala0504","1"
false,"B.Thomas95","1"
false,"89.133.52.188","1"
false,"83.252.176.138","1"
false,"CptKeyes","1"
false,"86.161.190.12","1"
false,"Maxí","1"
false,"Rabanus Flavus","1"
false,"Bus stop","1"
false,"ミラー・ハイト","1"
false,"Gjrfytn","1"
false,"WhiteKelly","1"
false,"62.148.157.80","1"
false,"Toreking","1"
false,"Blahma","1"
false,"Unreal7","1"
false,"Unica Pohlig","1"
false,"Myrtlegroggins","1"
false,"Pmiszcz","1"
false,"Anarabert","1"
false,"Danfarid133","1"
false,"Eustahio","1"
false,"Stormy clouds","1"
false,"Chaps the idol","1"
false,"Zinneke","1"
false,"37.133.44.106","1"
false,"Enthusiast01","1"
false,"Phi","1"
false,"OwenBlacker","1"
false,"MiPe","1"
false,"BlackDraGoN","1"
false,"216.40.79.241","1"
false,"Plutonium27","1"
false,"Verkhana","1"
false,"ConstantinHeuser","1"
false,"Babək Akifoğlu","1"
false,"77.254.47.156","1"
false,"HKast","1"
false,"Emanuele90pisa","1"
false,"Will74205","1"
false,"DIEGOMESSI10","1"
false,"81.40.121.7","1"
false,"Tsao97","1"
false,"ZeppoShemp","1"
false,"Sasuke88","1"
false,"82.132.221.218","1"
false,"Turaids","1"
false,"176.84.211.164","1"
false,"Armaan Mir","1"
false,"Grey ghost","1"
false,"Sehrg","1"
false,"Roylai133","1"
false,"OtávioSP","1"
false,"186.101.138.208","1"
false,"Antonellarea 878","1"
false,"Oursana","1"
false,"ListeriaBot","1"
false,"Iadys1toylovelove","1"
false,"189.142.134.97","1"
false,"187.160.11.199","1"
false,"Dwanyewest","1"
false,"Calum Tomeny","1"
false,"O-ring","1"
false,"MPS1992","1"
false,"2600:6C52:6200:35A1:44E4:C37A:617B:ABEA","1"
false,"240F:7A:7513:1:14B1:EE3D:63D2:E1AC","1"
false,"Wikiwerner","1"
false,"Perplex13","1"
false,"Jeantapir","1"
false,"81.99.197.166","1"
false,"46.198.105.229","1"
false,"Seeker of truth 2015","1"
false,"81.158.105.20","1"
false,"123.51.49.11","1"
false,"Miguelferig","1"
false,"Cocojean29","1"
false,"Md.altaf.rahman","1"
false,"Samantha Ireland","1"
false,"77.136.42.209","1"
false,"84.198.28.9","1"
false,"JacobMW","1"
false,"Pennanochsvärdet","1"
false,"Mewtwowimmer","1"
false,"Bazi","1"
false,"Socialcit","1"
false,"Maleine258","1"
false,"Eesrakarabulut","1"
false,"AnticoMu90","1"
false,"Convivae","1"
false,"GayIsNotOkay","1"
false,"Tatewaki","1"
false,"Clemens Schmillen","1"
false,"Speedymvchiavelli","1"
false,"Berserker276","1"
false,"KetsubanWikipedista","1"
false,"Mardus","1"
false,"Jonte--","1"
false,"Zdzislaw","1"
false,"칼빈500","1"
false,"Rm8373937","1"
false,"190.149.45.201","1"
false,"Triptothecottage","1"
false,"176.127.107.40","1"
false,"Axel.Mauruszat","1"
false,"134.95.39.49","1"
false,"MochLuthfansyah03","1"
false,"Offenbacherjung","1"
false,"WikiOriginal-9","1"
